HR_clean,RA_deg,DEC_deg,Vmag
224,271.88562981,28.76248822,3.825159947872162
225,153.68397941,-42.12193872,3.829609956741333
226,209.66978384,-44.80358591,3.8308901262283324
227,67.14374055,15.96215799,3.836730115413666
228,227.98364019,-48.73782139,3.8370499300956724
229,56.04991539,-64.80689293,3.8392101240158083
230,269.06325342,37.2505392,3.840549871921539
231,95.52844658,-33.43640196,3.8418000864982607
232,189.42568602,-48.54130499,3.8421500444412233
233,243.85946202,-63.6856802,3.8458099031448363
234,278.80177754,-8.24406995,3.8486199355125428
235,103.53314221,-24.18421182,3.8495698595046997
236,235.68572161,26.29562122,3.849650082588196
237,275.92454518,21.76974973,3.8505299139022826
238,63.50047329,-42.2943709,3.8507100677490236
239,239.22114797,-29.21407343,3.8524399304389956
240,86.82119562,-51.06651205,3.8532598543167116
241,56.45669538,24.36775119,3.855659966468811
242,138.59111115,2.31427285,3.857499921321869
243,248.36284398,-78.897149,3.8613300204277037
244,354.39101265,46.45815324,3.8614899706840515
245,82.80314024,-35.4705184,3.8628500580787657
246,244.93515629,46.31336906,3.8677701020240782
247,184.97647537,-0.66679342,3.870670077800751
248,131.50684886,-46.04153102,3.875740098953247
249,148.19090555,26.00695148,3.880160026550293
250,187.00992401,-50.23063622,3.8829900789260865
251,60.78908349,5.98930391,3.8834100222587584
252,2.35265739,-45.74742469,3.8837100100517272
253,347.58974039,-45.24671916,3.8840498971939086
254,170.25170677,-54.49103279,3.8868598890304566
255,144.96400696,-1.14280908,3.894789752960205
256,255.07239077,30.92640766,3.8960799884796145
257,202.76107277,-39.40730757,3.901089935302734
258,299.07655211,35.08342314,3.901709876060486
259,69.54509942,-14.30397756,3.9036597442626952
260,56.07972678,32.28824964,3.9054598951339723
261,290.41816275,-17.84720025,3.912499942779541
262,297.04311623,70.26792937,3.9146002340316772
263,167.14745997,-58.97503773,3.9212300395965576
264,314.29342003,41.16715777,3.930379910469055
265,115.31180305,-9.55112894,3.9318100357055665
266,137.81966453,-62.3169797,3.931919958591461
